Category: All categories,,
,,
Region,cybertruck: (1/1/19 - 3/31/23),model y: (1/1/19 - 3/31/23)
California,28%,72%
Washington,34%,66%
Hawaii,34%,66%
Nevada,34%,66%
New Jersey,30%,70%
Colorado,40%,60%
Oregon,37%,63%
Utah,47%,53%
Arizona,41%,59%
Florida,38%,62%
Maryland,37%,63%
Virginia,38%,62%
Illinois,35%,65%
District of Columbia,33%,67%
Massachusetts,35%,65%
Delaware,35%,65%
Texas,44%,56%
Georgia,40%,60%
New York,36%,64%
Minnesota,42%,58%
North Carolina,40%,60%
Connecticut,40%,60%
Vermont,46%,54%
New Hampshire,43%,57%
Idaho,52%,48%
Pennsylvania,42%,58%
Rhode Island,43%,57%
Alaska,56%,44%
Wyoming,64%,36%
Michigan,49%,51%
Ohio,44%,56%
Montana,55%,45%
Nebraska,54%,46%
New Mexico,49%,51%
Kansas,51%,49%
Oklahoma,55%,45%
Maine,53%,47%
Iowa,53%,47%
Tennessee,48%,52%
Missouri,49%,51%
Wisconsin,49%,51%
North Dakota,57%,43%
Indiana,50%,50%
Arkansas,55%,45%
South Carolina,47%,53%
South Dakota,54%,46%
West Virginia,52%,48%
Kentucky,51%,49%
Alabama,51%,49%
Louisiana,51%,49%
Mississippi,55%,45%
